Number of clauses,Number of completed runs,Median Number of Flips,Total Runs,C/N
20,49,3,50,C/N = 1
40,50,9,50,C/N = 2
60,50,30,50,C/N = 3
80,46,118,50,C/N = 4
100,17,149,50,C/N = 5
120,1,702,50,C/N = 6
140,0,0,50,C/N = 7
160,0,0,50,C/N = 8
180,0,0,50,C/N = 9
200,0,0,50,C/N = 10
6 threads, 6 max completion per 10s if runs timeout
