Number of clauses,Number of completed runs,Median Number of Flips,Total Runs,C/N
20,50,3,50,C/N = 1
40,49,11,50,C/N = 2
60,50,31,50,C/N = 3
80,46,159,50,C/N = 4
100,12,359,50,C/N = 5
120,0,0,50,C/N = 6
140,1,189,50,C/N = 7
160,0,0,50,C/N = 8
180,0,0,50,C/N = 9
200,0,0,50,C/N = 10
50 Threads at once, executor not shutdown after each clause count increase
